"Got Your Love|Dirtyphonics,RIOT"
"Extraordinary|Pegboard Nerds,Spyker,Elizaveta"
"Contemplate|Savoy,Grabbitz"
"JUMP|DROELOE,Nevve"
"Till I Make It|Dion Timmer,Tima Dee"
"You Me And Gravity|Koven,Crystal Skies"
"Party Don't Stop|Darren Styles,Dougal,Gammer"
"Are We Still Young|Grant,Juneau"
"Rapture|KUURO,MC Mota"
"Lay Low|Conro,David Benjamin"
"Get It All|MYRNE,Popeska,Emily Hendrix"
"That Sound|Reach,Slippy"
"Circus|Conro,Beckii Power"
"If I Could|Tut Tut Child,Beth Cole"
"Discovery|Orbiter,Stephen Walking,7 Minutes Dead"
"Nurture|Glacier,Brenna Myers"
"Love Back On|Summer Was Fun,Emelie Cyréus"
"What Feels Right|Duumu,Mindsight"
"Unusual Intro|Ampichino,Malvo,P3"
"Usual Suspects|Ampichino,Malvo,P3"
"Diabolical|Ampichino,Malvo,P3,Husalah"
"Life on the Line|Ampichino,Malvo,P3"
"Won't Say a Word|Ampichino,Malvo,P3"
"Get Real|Ampichino,Malvo,P3,Smiggz"
"Smack Em|Ampichino,Malvo,P3"
"Kfc|Ampichino,Malvo,P3,Young Bossi"
"Interlude|Ampichino,Malvo,P3"
"Job in the Mob|Ampichino,Malvo,P3"
"In Tune|Ampichino,Malvo,P3,A.R. Deville"
"About That|Ampichino,Malvo,P3"
"Thug Thizzle|Ampichino,Malvo,P3"
"Victor Doom|Ampichino,Malvo,P3"
"Everywhere I Go|Ampichino,Malvo,P3,A.R. Deville"
"Successfully Losin|Ampichino,Malvo,P3"
"Can't Believe|Ampichino,Malvo,P3"
"Titanium Smack|Ampichino,Malvo,P3,Sir Drop"
"Usual Outro|Ampichino,Malvo,P3,Hidrolic West"
"Work from Home (feat. Ty Dolla $ign)|Fifth Harmony,Ty Dolla $ign"
"All In My Head (Flex) (feat. Fetty Wap)|Fifth Harmony,Fetty Wap"
"Not That Kinda Girl (feat. Missy Elliott)|Fifth Harmony,Missy Elliott"
"String Quartet No. 4: I. Allegro non troppo|Szymon Laks,Erika Raum,Marie Bérard,Steven Dann,Winona Zelenka"
"String Quartet No. 4: II. Andante sostenuto|Szymon Laks,Erika Raum,Marie Bérard,Steven Dann,Winona Zelenka"
"String Quartet No. 4: III. Quasi presto, con fuoco|Szymon Laks,Erika Raum,Marie Bérard,Steven Dann,Winona Zelenka"
"Divertimento (Version for Violin, Clarinet, Bassoon & Piano): I. Allegro non troppo, quasi una marcia|Szymon Laks,Marie Bérard,Joaquin Valdepeñas,Frank Morelli,David Louie"
"Divertimento (Version for Violin, Clarinet, Bassoon & Piano): II. Andante - Allegretto subito - Tempo I|Szymon Laks,Marie Bérard,Joaquin Valdepeñas,Frank Morelli,David Louie"
"Divertimento (Version for Violin, Clarinet, Bassoon & Piano): III. Molto allegro e giocoso|Szymon Laks,Marie Bérard,Joaquin Valdepeñas,Frank Morelli,David Louie"
"Piano Sonatina: I. Moderato|Szymon Laks,David Louie"
"Piano Sonatina: II. Scherzino. Vivace|Szymon Laks,David Louie"
"Piano Sonatina: III. Lento non troppo - Molto tranquillo - Meno mosso|Szymon Laks,David Louie"
"Piano Sonatina: IV. Allegro non troppo|Szymon Laks,David Louie"
"Concertino: I. Allegro scherzoso - Più mosso|Szymon Laks,Sarah Jeffrey,Joaquin Valdepeñas,Frank Morelli"
"Concertino: II. Andante meditativo - Un poco meno mosso|Szymon Laks,Sarah Jeffrey,Joaquin Valdepeñas,Frank Morelli"
